LID	AZHtt_NLL
1399	0
1400	21.311
1401	0
1402	25.5566
1403	74.3447
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	220.358
1411	0
1412	0.713994
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	0
1425	21.094
1426	0
1427	0
1428	0
1429	0
1430	413.606
1431	0
1432	0
1433	0
1434	209.023
1435	0
1436	219.757
1437	30.9937
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	107.411
1447	102.676
1448	0
1449	0
1450	0
1451	20.2821
1452	0
1453	0
1454	0
1455	0
1456	0
1457	11.3378
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	6.82479
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	21.6918
1474	0
1475	0
1476	0
1477	8.54032
1478	0
1479	0
1480	0
1481	0
1482	0
1483	5.4032e-10
1484	0.23414
1485	111.422
1486	259.997
1487	48.237
1488	0
1489	0
1490	4.45413
1491	0
1492	0
1493	0
1494	0
1495	0
1496	68.8237
1497	44.2524
1498	0
1499	0
1500	0
1501	0
1502	0
1503	0
1504	0
1505	0
1506	0
1507	0
1508	136.879
1509	21.2914
1510	0
1511	0
1512	0
1513	0
1514	0
1515	0
1516	0
1517	305.419
1518	0
1519	0
1520	76.7487
1521	0
1522	0
1523	0
1524	0
1525	0
1526	0
1527	0
1528	0
1529	0
1530	0
1531	0.00535327
1532	16.8784
1533	0
1534	0
1535	0
1536	0
1537	0
1538	0
1539	0
1540	13.9605
1541	0
1542	0
1543	51.2912
1544	0
1545	0
1546	0
1547	27.0202
1548	0
1549	22.575
1550	0
1551	214.415
1552	0
1553	0
1554	0
1555	0
1556	0
1557	271.978
1558	0
1559	25.5919
1560	0.102
1561	0
1562	1.58955e-07
1563	0
1564	19.1018
1565	0
1566	0.00668502
1567	0
1568	0.0489146
1569	0
1570	24.8761
1571	0
1572	0
1573	0
1574	0
1575	7.82836
1576	0
1577	32.7373
1578	27.6003
1579	0
1580	185.55
1581	0
1582	0
1583	0
1584	36.074
1585	0
1586	8.05402
1587	0
