LID	AZHtt_NLL
389	68.2738
390	44.9976
391	0
392	96.8311
393	15.1961
394	0
395	88.3532
396	0
397	536.557
398	39.3249
399	78.836
400	186.921
401	0
402	42.902
403	233.855
404	172.207
405	81.406
406	0
407	0
408	162.666
409	22.1439
410	105.104
411	141.932
412	197.225
413	229.274
414	0
415	0
416	5.76634
417	12.7945
418	40.0219
419	138.663
420	89.3937
421	0
422	133.192
423	471.136
424	32.3492
425	115.748
426	0
427	5.98831
428	80.5421
429	9.78234
430	179.922
431	0
432	0
433	0
434	0
435	25.6975
436	119.087
437	55.4664
438	44.9308
439	93.1498
440	0
441	269.997
442	14.2465
443	0
444	20.1282
445	0
446	265.805
447	86.5445
448	425.661
449	268.968
450	36.7225
451	138.019
452	25.6975
453	77.5446
454	0
455	32.3397
456	0
457	63.4416
458	0
459	0
460	0
461	181.787
462	0
463	44.9308
464	0
465	27.924
466	0
467	107.681
468	231.915
469	76.5052
470	286.459
471	152.195
472	0
473	491.627
474	272.901
475	0
476	0
477	57.579
478	155.031
479	530.425
480	36.013
481	58.9929
482	174.262
483	94.5094
484	114.816
485	161.13
486	0
487	45.4631
488	37.4252
489	365.868
490	0
491	221.191
492	68.3227
493	187.72
494	155.653
495	97.3278
496	66.1774
497	143.316
498	425.661
499	172.409
500	0
501	0
502	0
503	103.687
504	0
505	0
506	45.9826
507	14.2875
508	11.2396
509	411.752
510	187.72
511	36.5944
512	0
513	23.0888
514	0
515	0
516	152.195
517	115.063
518	122.623
519	0
520	153.651
521	217.63
522	23.0888
523	12.0176
524	429.834
525	136.766
526	0
527	65.6567
528	152.847
529	3.81688
530	83.0169
531	80.5421
532	72.3802
533	365.868
534	37.704
535	0
536	70.2177
537	0
538	0
539	0
540	189.353
541	0
542	39.2441
543	0
544	0.73288
545	23.3071
546	0
547	194.639
548	51.6697
549	73.4616
550	26.067
551	0
552	223.234
553	74.9336
554	199.965
555	0
556	0
557	0
558	0
559	128.411
560	0
561	0
562	0
563	223.234
564	105.127
565	141.667
566	38.0414
567	0
568	36.5944
569	0
570	96.01
571	0
572	0
573	0
574	25.2375
575	0
576	0
577	0
578	420.701
579	78.3015
580	50.9578
581	101.46
582	110.886
583	229.541
584	0
585	35.8251
586	228.543
587	315.253
588	0
589	15.962
590	212.894
591	339.438
592	12.6557
593	0
594	0
595	29.6214
596	0
597	27.4162
598	145.625
599	74.2148
600	0
601	86.3341
602	54.7598
603	271.254
604	217.495
605	396.398
606	0
607	42.1012
608	10.4937
609	35.5497
610	222.507
611	135.818
612	54.7598
613	0
614	0
615	0
616	0
617	0
618	33.342
619	0
620	0
621	1001.01
622	0
623	0
624	57.4182
625	1.71209
626	147.159
627	0
628	11.1027
629	82.0505
630	21.8909
631	0
632	0
633	322.72
634	75.611
635	361.737
636	71.8401
637	210.474
638	174.91
639	192.246
640	110.886
641	0
642	75.5956
643	27.4801
644	57.5909
645	0
646	93.6901
647	266.24
648	0
649	203.785
650	85.4488
651	61.3913
652	0
653	41.4632
654	0
655	74.9702
656	0
657	0
658	136.667
659	59.4762
660	0
661	0
662	187.657
663	217.175
664	22.2962
665	0
666	90.6079
667	729.98
668	41.2384
669	77.7473
670	41.2384
671	86.2052
672	0
673	348.771
674	0
675	63.3742
676	217.175
677	131.783
678	110.949
679	217.175
680	17.8946
681	224.421
682	176.255
683	0
684	437.057
685	0
686	0
687	14.3593
688	217.66
689	113.234
690	0
691	128.969
692	146.577
693	0
694	7.03294
695	97.2354
696	0
697	1.13749
698	150.698
699	269.369
700	16.0825
701	532.884
702	136.117
703	0
704	0
705	150.401
706	580.099
707	54.7567
708	54.7567
709	81.5366
710	98.4036
711	98.4036
712	65.5965
713	169.657
714	0
715	91.8478
716	351.923
717	0
718	111.038
719	0
720	111.038
721	111.038
722	0
723	0
724	32.0114
725	0
726	0
727	0
728	199.805
729	0
730	0
731	4.41639
732	0
733	57.1803
734	50.1868
735	157.192
736	167.446
737	25.1893
738	100.282
739	117.671
740	0
741	0
742	256.019
743	92.9701
744	355.955
745	0
746	317.351
747	0
748	338.48
749	206.963
750	52.6317
751	0
752	34.8755
753	76.6501
754	0.81571
755	0
756	12.301
757	20.0621
758	416.626
759	9.10646
760	0
761	0
762	0
763	0
764	0
765	18.3821
766	2.73784
767	17.5785
768	0
769	88.287
770	23.2617
771	38.0223
772	85.8922
773	160.899
774	0.587249
775	48.5336
776	1.13637
777	59.0426
778	283.995
779	1.74168
780	0
781	0
782	247.105
783	32.3244
784	213.736
785	77.5974
786	63.5525
787	0
788	370.395
789	54.6727
790	0
791	63.5525
792	22.4407
793	122.888
794	254.893
795	6.87465
796	329.53
797	133.392
798	329.53
799	0
800	101.18
801	504.962
802	222.186
803	0
804	59.4967
805	23.1319
806	83.8714
807	83.4033
808	60.0385
809	0
810	5.70948
811	98.7403
812	0
813	0
814	65.5447
815	510.532
816	71.3444
817	232.086
818	123.827
819	0
820	0
821	221.898
822	0
823	65.3673
824	0
825	92.7455
826	0
827	274.674
828	108.021
829	526.786
830	0
831	0
832	9.56846
833	0
834	0
835	37.6118
836	0
837	0
838	55.7857
839	65.6195
840	0
841	213.083
842	499.924
843	29.4884
844	29.4884
845	247.979
846	0
847	582.163
848	151.404
849	0
850	107.716
851	654.633
852	38.5222
853	72.9764
854	27.1458
855	77.1572
856	229.545
857	0.0454134
858	12.7592
859	1.40571
860	158.49
861	27.1882
862	144.604
863	301.791
864	0
865	83.5978
866	154.69
867	66.092
868	0
869	20.7602
870	4.24227
871	242.569
872	116.544
873	0
874	0
875	2.94519
876	0
877	30.0828
878	0
879	436.695
880	41.6745
881	152.079
882	221.653
883	61.7436
884	39.0522
885	220.985
886	315.919
887	0
888	0
889	0
890	15.8405
891	0
892	217.509
893	45.324
894	204.567
895	502.824
896	397
897	44.5681
898	156.701
899	56.4111
900	171.056
901	64.2726
902	40.0612
903	0
904	6.28473
905	130.327
906	131.064
907	49.639
908	0
909	294.188
910	38.7366
911	0
912	127.187
913	0
914	102.046
915	0
916	5.11675
917	40.6683
918	662.607
919	365.412
920	296.244
921	34.6128
922	30.0663
923	44.0538
924	43.425
925	0
926	381.226
927	0
928	128.843
929	0
930	37.648
931	48.1026
932	15.4551
933	218.284
934	88.1422
935	0
936	167.238
937	0
938	41.1861
939	241.066
940	0
941	28.6999
942	8.0577
943	314.707
944	172.923
945	53.1333
946	22.1481
947	34.5073
948	153.099
949	0
950	0
951	110.043
952	0
953	234.299
954	52.2992
955	3.433
956	192.691
