LID	AZHtt_NLL
1238	0
1239	79.1123
1240	28.2284
1241	0
1242	0
1243	0
1244	0
1245	0
1246	0
1247	6.19984e-08
1248	0
1249	0
1250	0
1251	119.887
1252	0
1253	0
1254	0
1255	0
1256	0
1257	0
1258	0
1259	0
1260	0
1261	0
1262	0
1263	0
1264	0
1265	0.00011606
1266	0
1267	309.936
1268	0
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	176.135
1279	0
1280	0
1281	0
1282	127.017
1283	0
1284	187.091
1285	0
1286	0
1287	24.5576
1288	0.0260311
1289	0
1290	0
1291	0
1292	0
1293	45.2368
1294	0
1295	0
1296	0
1297	193.558
1298	238.617
1299	0
1300	23.9105
1301	0
1302	0
1303	0.19594
1304	0
1305	0
1306	0
1307	0
1308	0
1309	37.2134
1310	48.9263
1311	14.3683
1312	0
1313	0
1314	0
1315	16.4238
1316	0
1317	0
1318	0
1319	0
1320	0
1321	285.528
1322	0
1323	0
1324	0
1325	0
1326	0
1327	0
1328	32.9177
1329	80.7106
1330	9.03264
1331	0
1332	0
1333	0
1334	4.45486
1335	0
1336	0
1337	0
1338	0
1339	35.2959
1340	35.1061
1341	0
1342	15.2748
1343	0
1344	0
1345	89.168
1346	0
1347	0
1348	0
1349	47.2777
1350	0
1351	1.04757
1352	0
1353	0
1354	0
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	37.366
1362	7.09938
1363	0
1364	0
1365	25.3641
1366	58.477
1367	0
1368	0
1369	0
1370	0
1371	21.0899
1372	0
1373	0
1374	0
1375	0
1376	272.926
1377	12.9912
1378	0
1379	0
1380	6.74946
1381	0
1382	42.1876
1383	0
1384	0
1385	0
1386	0
1387	0
1388	20.0019
1389	1.17629
1390	0
1391	0
1392	54.2715
1393	0
1394	39.0524
1395	0
1396	0
1397	0
1398	18.2342
1399	0
1400	21.7423
1401	0
1402	29.454
1403	78.6541
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	236.379
1411	0
1412	0.798748
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	0
1425	24.8037
1426	0
1427	0
1428	0
1429	0
1430	443.893
1431	0
