LID	AZHtt_NLL
244	116.901
245	4.37221
246	174.964
247	210.176
248	0
249	139.171
250	73.8174
251	0
252	430.171
253	84.4546
254	201.77
255	16.1897
256	225.437
257	388.128
258	349.154
259	91.9264
260	260.985
261	0
262	93.7789
263	38.1032
264	91.3018
265	6.16602
266	127.472
267	172.683
268	0
269	416.938
270	89.7578
271	183.801
272	402.482
273	56.1245
274	99.4235
275	159.704
276	2.76861
277	0
278	399.15
279	299.513
280	76.8544
281	0
282	50.1129
283	141.74
284	202.476
285	0
286	0
287	57.6192
288	40.023
289	0
290	69.4423
291	37.6088
292	0
293	104.517
294	297.101
295	79.615
296	0
297	56.3149
298	209.779
299	54.459
300	10.0662
301	0
302	139.186
303	39.7194
304	58.7576
305	0
306	0.728021
307	0
308	208.02
309	272.022
310	0
311	50.5198
312	52.9779
313	90.0679
314	50.0649
315	36.9829
316	0
317	13.4213
318	113.153
319	0
320	10.408
321	0
322	127.679
323	19.3707
324	100.908
325	39.0285
326	0
327	93.7777
328	226.543
329	2.01763
330	102.93
331	133.703
332	0
333	63.4324
334	71.1231
335	68.1885
336	45.2352
337	246.869
338	202.382
339	133.703
340	131.986
341	84.276
342	2.60537
343	0.888606
344	0
345	222.496
346	124.679
347	0
348	2.02762
349	13.6341
350	17.3942
351	120.206
352	0.121991
353	63.1071
354	232.694
355	80.4958
356	12.4753
357	0
358	138.322
359	67.2649
360	0
361	16.2816
362	325.802
363	130.155
364	2.13935
365	77.5203
366	124.405
367	37.4506
368	117.592
369	0
370	44.0147
371	76.6424
372	0
373	120.848
374	279.754
375	0
376	76.2892
377	0
378	86.0818
379	122.067
380	0
381	62.5866
382	46.9954
383	214.436
384	503.558
385	56.3149
386	275.241
387	0
388	53.5867
389	69.8751
390	46.3381
391	0
392	109.901
393	17.3533
394	0
395	94.4848
396	0
397	570.272
398	40.4602
399	89.7199
400	201.77
401	0
402	45.631
403	253.316
404	175.972
405	96.292
406	0
407	0
408	184.26
409	24.7397
410	110.597
411	146.972
412	207.956
413	251.722
414	0
415	0
416	12.4753
417	15.2954
418	41.0534
419	143.761
420	101.056
421	0
422	145.444
423	515.041
424	33.1619
425	135.065
426	0
427	10.2292
428	94.3585
429	16.7114
430	198.24
431	0
432	0
433	0
434	0
435	26.4353
436	131.833
437	64.7665
438	45.8448
439	95.1112
440	0
441	284.845
442	14.6212
443	0
444	24.0488
445	0
446	292.481
447	88.118
448	444.639
449	312.284
450	43.4259
451	152.562
452	26.4353
453	86.157
454	0
455	32.9764
456	0
457	65.4831
458	0
459	0
460	0
461	199.617
462	0
463	45.8448
464	0
465	28.6069
466	0
467	108.973
468	244.782
469	83.5839
470	298.275
471	158.07
472	0
473	525.62
474	291.551
475	0
476	0
